37.98	1.706	62.43	3.70	2.21	135.88	21.57	5	5	38.43
37.46	1.73	66.75	3.72	2.24	133.06	21.42	5	5	38.70
39.58	1.637	63.63	3.62	2.12	144.56	22.02	5	5	37.64
37.98	1.706	68.51	3.70	2.21	135.88	21.57	5	5	38.43
39.23	1.652	68.92	3.64	2.14	142.60	21.92	5	5	37.82
39.13	1.656	61.19	3.64	2.15	142.08	21.89	5	5	37.86
39.04	1.66	58.35	3.65	2.15	141.57	21.87	5	5	37.91
38.71	1.674	58.88	3.66	2.17	139.79	21.78	5	5	38.07
39.90	1.624	62.09	3.61	2.11	146.30	22.11	5	5	37.49
38.03	1.704	61.84	3.69	2.21	136.12	21.58	5	5	38.41
38.57	1.68	61.23	3.67	2.18	139.05	21.74	5	5	38.14
39.06	1.659	59.51	3.64	2.15	141.70	21.87	5	5	37.90
38.39	1.688	64.56	3.68	2.19	138.06	21.69	5	5	38.23
37.57	1.725	57.76	3.72	2.24	133.64	21.45	5	5	38.64
38.80	1.67	61.58	3.66	2.17	140.30	21.80	5	5	38.02
37.54	1.726	66.86	3.72	2.24	133.53	21.45	5	5	38.65
38.12	1.7	64.59	3.69	2.20	136.60	21.61	5	5	38.36
39.39	1.645	64.42	3.63	2.13	143.51	21.97	5	5	37.74
39.42	1.644	61.18	3.63	2.13	143.64	21.97	5	5	37.72
37.70	1.719	61.40	3.71	2.23	134.34	21.49	5	5	38.58
38.23	1.695	61.06	3.68	2.20	137.20	21.64	5	5	38.31
37.52	1.727	69.64	3.72	2.24	133.41	21.44	5	5	38.67
38.28	1.693	60.74	3.68	2.19	137.45	21.65	5	5	38.28
39.25	1.651	58.51	3.64	2.14	142.73	21.93	5	5	37.81
38.43	1.686	58.41	3.67	2.19	138.31	21.70	5	5	38.20
38.21	1.696	61.14	3.69	2.20	137.08	21.63	5	5	38.32
38.64	1.677	61.99	3.66	2.17	139.42	21.76	5	5	38.10
38.64	1.677	59.22	3.66	2.17	139.42	21.76	5	5	38.10
39.18	1.654	62.85	3.64	2.14	142.34	21.91	5	5	37.84
38.23	1.695	61.67	3.68	2.20	137.20	21.64	5	5	38.31
38.25	1.694	56.11	3.68	2.20	137.33	21.65	5	5	38.29
38.53	1.682	56.52	3.67	2.18	138.80	21.72	5	5	38.16
38.69	1.675	58.53	3.66	2.17	139.67	21.77	5	5	38.08
37.83	1.713	59.05	3.70	2.22	135.05	21.53	5	5	38.51
39.80	1.628	56.91	3.61	2.11	145.76	22.08	5	5	37.54
38.21	1.696	56.27	3.69	2.20	137.08	21.63	5	5	38.32
38.28	1.693	59.38	3.68	2.19	137.45	21.65	5	5	38.28
38.69	1.675	59.54	3.66	2.17	139.67	21.77	5	5	38.08
38.37	1.689	59.01	3.68	2.19	137.94	21.68	5	5	38.24
39.18	1.654	55.03	3.64	2.14	142.34	21.91	5	5	37.84
38.59	1.679	60.77	3.67	2.18	139.17	21.74	5	5	38.12
39.54	1.639	61.53	3.62	2.12	144.30	22.01	5	5	37.67
38.46	1.685	63.83	3.67	2.18	138.43	21.70	5	5	38.19
39.18	1.654	63.17	3.64	2.14	142.34	21.91	5	5	37.84
37.94	1.708	60.93	3.70	2.21	135.64	21.56	5	5	38.45
38.85	1.668	58.33	3.65	2.16	140.55	21.82	5	5	38.00
38.78	1.671	59.18	3.66	2.17	140.17	21.80	5	5	38.03
39.34	1.647	65.06	3.63	2.14	143.25	21.95	5	5	37.76
38.25	1.694	60.94	3.68	2.20	137.33	21.65	5	5	38.29
38.01	1.705	61.94	3.70	2.21	136.00	21.58	5	5	38.42
38.53	1.682	61.68	3.67	2.18	138.80	21.72	5	5	38.16
39.30	1.649	57.72	3.63	2.14	142.99	21.94	5	5	37.78
38.80	1.67	60.84	3.66	2.17	140.30	21.80	5	5	38.02
38.87	1.667	60.49	3.65	2.16	140.68	21.82	5	5	37.99
38.53	1.682	58.12	3.67	2.18	138.80	21.72	5	5	38.16
38.50	1.683	62.93	3.67	2.18	138.67	21.72	5	5	38.17
38.39	1.688	59.06	3.68	2.19	138.06	21.69	5	5	38.23
38.14	1.699	64.08	3.69	2.20	136.72	21.62	5	5	38.35
38.97	1.663	63.34	3.65	2.16	141.18	21.85	5	5	37.94
38.59	1.679	58.79	3.67	2.18	139.17	21.74	5	5	38.12
39.46	1.642	64.50	3.63	2.13	143.90	21.99	5	5	37.70
38.32	1.691	69.93	3.68	2.19	137.69	21.67	5	5	38.26
39.30	1.649	68.60	3.63	2.14	142.99	21.94	5	5	37.78
38.34	1.69	65.25	3.68	2.19	137.81	21.67	5	5	38.25
38.80	1.67	62.29	3.66	2.17	140.30	21.80	5	5	38.02
38.62	1.678	63.47	3.67	2.18	139.30	21.75	5	5	38.11
38.48	1.684	66.25	3.67	2.18	138.55	21.71	5	5	38.18
39.25	1.651	64.63	3.64	2.14	142.73	21.93	5	5	37.81
38.03	1.704	65.30	3.69	2.21	136.12	21.58	5	5	38.41
38.39	1.688	64.55	3.68	2.19	138.06	21.69	5	5	38.23
37.89	1.71	68.35	3.70	2.22	135.40	21.55	5	5	38.47
38.39	1.688	65.79	3.68	2.19	138.06	21.69	5	5	38.23
39.63	1.635	61.77	3.62	2.12	144.83	22.03	5	5	37.62
38.90	1.666	60.85	3.65	2.16	140.80	21.83	5	5	37.98
38.92	1.665	62.75	3.65	2.16	140.93	21.83	5	5	37.97
38.30	1.692	61.76	3.68	2.19	137.57	21.66	5	5	38.27
38.64	1.677	62.54	3.66	2.17	139.42	21.76	5	5	38.10
38.83	1.669	60.57	3.66	2.16	140.42	21.81	5	5	38.01
39.08	1.658	64.12	3.64	2.15	141.82	21.88	5	5	37.89
39.51	1.64	58.28	3.62	2.13	144.16	22.00	5	5	37.68
37.61	1.723	65.91	3.71	2.23	133.87	21.46	5	5	38.62
39.13	1.656	62.49	3.64	2.15	142.08	21.89	5	5	37.86
37.78	1.715	67.07	3.71	2.22	134.81	21.51	5	5	38.53
38.28	1.693	65.05	3.68	2.19	137.45	21.65	5	5	38.28
39.51	1.64	63.22	3.62	2.13	144.16	22.00	5	5	37.68
38.83	1.669	61.59	3.66	2.16	140.42	21.81	5	5	38.01
38.46	1.685	66.78	3.67	2.18	138.43	21.70	5	5	38.19
39.20	1.653	63.95	3.64	2.14	142.47	21.91	5	5	37.83
38.25	1.694	63.44	3.68	2.20	137.33	21.65	5	5	38.29
38.66	1.676	63.46	3.66	2.17	139.54	21.76	5	5	38.09
39.95	1.622	61.10	3.60	2.10	146.57	22.12	5	5	37.47
37.52	1.727	64.39	3.72	2.24	133.41	21.44	5	5	38.67
38.73	1.673	61.18	3.66	2.17	139.92	21.78	5	5	38.06
38.64	1.677	60.36	3.66	2.17	139.42	21.76	5	5	38.10
38.97	1.663	64.92	3.65	2.16	141.18	21.85	5	5	37.94
39.90	1.624	57.64	3.61	2.11	146.30	22.11	5	5	37.49
38.99	1.662	66.03	3.65	2.15	141.31	21.85	5	5	37.93
37.89	1.71	63.98	3.70	2.22	135.40	21.55	5	5	38.47
38.55	1.681	63.43	3.67	2.18	138.92	21.73	5	5	38.15
37.74	1.717	61.92	3.71	2.23	134.58	21.50	5	5	38.55
38.59	1.679	60.04	3.67	2.18	139.17	21.74	5	5	38.12
38.92	1.665	60.36	3.65	2.16	140.93	21.83	5	5	37.97
39.66	1.634	57.24	3.62	2.12	144.96	22.04	5	5	37.61
39.42	1.644	56.58	3.63	2.13	143.64	21.97	5	5	37.72
38.87	1.667	56.32	3.65	2.16	140.68	21.82	5	5	37.99
38.41	1.687	61.17	3.68	2.19	138.18	21.69	5	5	38.22
39.08	1.658	63.21	3.64	2.15	141.82	21.88	5	5	37.89
37.46	1.73	60.42	3.72	2.24	133.06	21.42	5	5	38.70
39.34	1.647	55.34	3.63	2.14	143.25	21.95	5	5	37.76
38.94	1.664	55.42	3.65	2.16	141.06	21.84	5	5	37.95
38.37	1.689	59.65	3.68	2.19	137.94	21.68	5	5	38.24
37.67	1.72	60.39	3.71	2.23	134.22	21.48	5	5	38.59
38.78	1.671	57.03	3.66	2.17	140.17	21.80	5	5	38.03
39.63	1.635	55.02	3.62	2.12	144.83	22.03	5	5	37.62
39.54	1.639	57.29	3.62	2.12	144.30	22.01	5	5	37.67
38.55	1.681	59.74	3.67	2.18	138.92	21.73	5	5	38.15
38.16	1.698	64.13	3.69	2.20	136.84	21.62	5	5	38.34
